state1,state2,distance
Idaho,New Jersey,633482.5172244298
Idaho,New Mexico,951722.0051112615
Idaho,New York,640807.3172693957
Idaho,North Carolina,684934.4026985358
Idaho,North Dakota,890585.4176776083
Idaho,Ohio,714481.1457169461
Idaho,Oklahoma,864780.303487539
Idaho,Oregon,1090977.9809093308
Idaho,Pennsylvania,664291.380851054
Idaho,Rhode Island,601543.932402281
Idaho,South Carolina,702146.8128539786
Idaho,South Dakota,887650.491384982
Idaho,Tennessee,852653.8368323924
Idaho,Texas,888081.6460804716
Idaho,Utah,1003359.3445102308
Idaho,Vermont,612051.5057648335
Idaho,Virginia,677375.5444448817
Idaho,Washington,1090280.5879084521
Idaho,West Virginia,693967.0993613458
Idaho,Wisconsin,785332.7589881883
Idaho,Wyoming,960994.5602889748
Illinois,Alabama,76385.52096438172
Illinois,Alaska,675025.0360638485
Illinois,Arizona,231922.30746092537
Illinois,Arkansas,60858.88564540103
Illinois,California,304076.7109414991
Illinois,Colorado,163846.26695167637
Illinois,Connecticut,165448.3546850799
Illinois,Delaware,816527.7846105422
Illinois,Florida,132565.00129370496
Illinois,Georgia,93739.17284145407
Illinois,Hawaii,700199.9143701748
Illinois,Idaho,778545.4722545113
Illinois,Illinois,0.0
Illinois,Indiana,29186.295174276573
Illinois,Iowa,798727.8732565929
Illinois,Kansas,93134.48513305906
Illinois,Kentucky,46315.656488923916
Illinois,Louisiana,93996.18073624055
Illinois,Maine,206527.38233222248
Illinois,Maryland,382063.3274471655
Illinois,Massachusetts,175290.7811751662
Illinois,Michigan,57331.573055341854
Illinois,Minnesota,80638.0545648269
Illinois,Mississippi,73204.87127234088
Illinois,Missouri,799684.562343178
Illinois,Montana,216059.46293555392
Illinois,Nebraska,107036.74003350438
Illinois,Nevada,274439.5831380743
Illinois,New Hampshire,179873.06151839413
Illinois,New Jersey,145244.64282375443
Illinois,New Mexico,178298.3893281148
Illinois,New York,139764.45345652092
Illinois,North Carolina,107859.51670575944
Illinois,North Dakota,134864.28990655756
Illinois,Ohio,64074.665890662276
Illinois,Oklahoma,94170.54352609419
Illinois,Oregon,316023.63595940097
Illinois,Pennsylvania,114275.4980606079
Illinois,Rhode Island,177158.6222400705
Illinois,South Carolina,103152.71932915777
Illinois,South Dakota,118759.99949477939
Illinois,Tennessee,365668.2049084935
Illinois,Texas,132698.34214864933
Illinois,Utah,224858.5504000237
Illinois,Vermont,170141.3446197014
Illinois,Virginia,106454.17787949894
Illinois,Washington,321013.2494617629
Illinois,West Virginia,86874.78752779773
Illinois,Wisconsin,46514.93149516615
Illinois,Wyoming,185908.88308254664
Indiana,Alabama,71358.03910562565
Indiana,Alaska,702847.6358393759
Indiana,Arizona,259933.73963377665
Indiana,Arkansas,79348.54829169845
Indiana,California,332984.6822317807
Indiana,Colorado,192870.70058461445
Indiana,Connecticut,136639.6705865467
Indiana,Delaware,787362.9663865325
Indiana,Florida,118976.63438675679
Indiana,Georgia,77885.54313221421
Indiana,Hawaii,727813.2510926137
Indiana,Idaho,749529.1499988509
Indiana,Illinois,29186.295174276573
Indiana,Indiana,0.0
Indiana,Iowa,769629.0631732926
Indiana,Kansas,121795.87911337559
Indiana,Kentucky,25547.329606046893
Indiana,Louisiana,105142.48957010671
Indiana,Maine,178969.1636930787
Indiana,Maryland,372190.7997492684
Indiana,Massachusetts,146653.17250233627
Indiana,Michigan,45369.697166721315
Indiana,Minnesota,102551.03312010075
Indiana,Mississippi,79183.6165377662
